image_name,iou,green_area_m2,green_percent
584712_sat.jpg,0.9938,1496467.5,99.89
747824_sat.jpg,0.9468,1497657.25,99.97
476582_sat.jpg,0.6754,1459424.75,97.41
679507_sat.jpg,0.9655,1462028.5,97.59
969934_sat.jpg,0.9158,1475355.0,98.48
801361_sat.jpg,0.7127,1495487.75,99.82
139482_sat.jpg,0.9031,1477856.25,98.64
65170_sat.jpg,0.9748,1482792.0,98.97
557439_sat.jpg,0.9922,1491439.0,99.55
946475_sat.jpg,0.0167,1467906.5,97.98
269601_sat.jpg,0.9713,1464180.25,97.73
638937_sat.jpg,0.8938,1467748.0,97.97
349442_sat.jpg,0.9388,1496615.5,99.9
772452_sat.jpg,0.2498,1485709.5,99.17
544078_sat.jpg,0.9163,1470650.25,98.16
612214_sat.jpg,0.9902,1483451.5,99.02
925382_sat.jpg,0.8872,1475576.25,98.49
96841_sat.jpg,0.8835,1490351.75,99.48
273274_sat.jpg,0.9497,1454604.25,97.09
621633_sat.jpg,0.8542,1497099.0,99.93
416381_sat.jpg,0.3328,1489268.25,99.41
563092_sat.jpg,0.8299,1329039.75,88.71
252743_sat.jpg,0.9473,1494015.25,99.72
501804_sat.jpg,0.3351,1480584.5,98.83
45357_sat.jpg,0.8005,1493154.75,99.66
